OrderID,OrderDate,ShipDate,CustomerName,Segment,Region,Category,Product,Quantity,Discount,Sales,Profit,ShipMode,ShippingDays,OrderMonth,ProfitMargin
ORD-10033,2024-07-08,2024-07-13,Sneha Chatterjee,Consumer,South,Groceries,Rice Pack,1,0.05,300.2,18.01,Standard,5,2024-07,0.06
ORD-10034,2025-09-03,2025-09-07,Vihaan Chatterjee,Consumer,East,Beauty,Skincare Kit,4,0.1,7268.4,1308.31,Standard,4,2025-09,0.18
ORD-10035,2025-04-13,2025-04-17,Priya Mehta,Consumer,North,Beauty,Skincare Kit,2,0.05,5025.5,1005.1,Express,4,2025-04,0.2
ORD-10036,2025-05-06,2025-05-07,Diya Nair,Consumer,Central,Beauty,Trimmer,2,0.0,5762.0,1267.64,Standard,1,2025-05,0.22
ORD-10037,2025-05-14,2025-05-15,Rahul Gupta,Consumer,East,Electronics,Tablet,3,0.0,83193.0,9983.16,Standard,1,2025-05,0.12
ORD-10038,2025-09-29,2025-10-01,Arjun Singh,Consumer,Central,Groceries,Beverages,1,0.1,1335.6,53.42,Same Day,2,2025-09,0.04
ORD-10039,2025-07-09,2025-07-14,Aditya Iyer,Consumer,Central,Beauty,Trimmer,4,0.0,1608.0,353.76,Express,5,2025-07,0.22
ORD-10040,2025-06-09,2025-06-16,Om Chatterjee,Consumer,North,Electronics,Tablet,1,0.2,37277.6,1491.1,Standard,7,2025-06,0.04
ORD-10041,2025-01-07,2025-01-09,Ananya Chatterjee,Consumer,East,Groceries,Beverages,4,0.05,4943.8,296.63,Standard,2,2025-01,0.06
ORD-10042,2025-12-24,2025-12-29,Vihaan Singh,Small Business,South,Groceries,Dairy Pack,3,0.1,1320.3,52.81,Express,5,2025-12,0.04
ORD-10043,2024-01-05,2024-01-12,Arjun Kapoor,Consumer,North,Electronics,Smartphone,5,0.1,166324.5,13305.96,Standard,7,2024-01,0.08
ORD-10044,2025-02-08,2025-02-15,Om Das,Consumer,South,Groceries,Rice Pack,5,0.1,3915.0,156.6,Standard,7,2025-02,0.04
ORD-10045,2024-01-01,2024-01-04,Meera Gupta,Consumer,West,Beauty,Trimmer,2,0.05,1305.3,261.06,Express,3,2024-01,0.2
ORD-10046,2024-11-01,2024-11-05,Vivaan Mehta,Consumer,North,Electronics,Smartwatch,5,0.1,195066.0,15605.28,Standard,4,2024-11,0.08
ORD-10047,2024-11-01,2024-11-03,Om Iyer,Corporate,West,Furniture,Sofa,4,0.0,76860.0,11553.507054578653,Standard,2,2024-11,0.15
ORD-10048,2025-02-04,2025-02-06,Priya Chatterjee,Consumer,South,Electronics,Smartwatch,5,0.0,285615.0,34273.8,Standard,2,2025-02,0.12
ORD-10049,2024-04-04,2024-04-07,Rahul Iyer,Consumer,Central,Groceries,Beverages,5,0.25,4942.5,-98.85,Standard,3,2024-04,-0.02
ORD-10050,2025-06-17,2025-06-22,Saanvi Mehta,Corporate,North,Electronics,Tablet,1,0.05,39086.8,3908.68,Express,5,2025-06,0.1
ORD-10051,2024-08-26,2024-09-01,Vihaan Rao,Consumer,Central,Clothing,Formal Shirt,5,0.25,9206.25,1380.94,Express,6,2024-08,0.15
ORD-10052,2024-03-18,2024-03-20,Tanvi Mehta,Consumer,East,Beauty,Perfume,3,0.2,2952.0,413.28,Standard,2,2024-03,0.14
ORD-10053,2024-01-15,2024-01-16,Arjun Kapoor,Corporate,East,Beauty,Makeup Kit,2,0.05,2762.6,552.52,Express,1,2024-01,0.2
ORD-10054,2024-04-18,2024-04-20,Ishaan Khan,Corporate,West,Groceries,Cooking Oil,2,0.0,1694.0,135.52,Standard,2,2024-04,0.08
ORD-10055,2025-01-11,2025-01-12,Neha Gupta,Consumer,North,Beauty,Trimmer,3,0.0,8289.0,1823.58,Express,1,2025-01,0.22
ORD-10056,2024-08-10,2024-08-16,Vivaan Rao,Consumer,East,Furniture,Bookshelf,3,0.15,60817.5,7298.1,Express,6,2024-08,0.12
ORD-10057,2025-10-06,2025-10-12,Ishaan Patel,Small Business,East,Furniture,Bookshelf,1,0.1,16297.2,2281.61,Standard,6,2025-10,0.14
ORD-10058,2024-09-15,2024-09-16,Diya Singh,Corporate,West,Furniture,Study Table,2,0.0,47844.0,8611.92,Standard,1,2024-09,0.18
ORD-10059,2025-02-22,2025-02-28,Rohan Iyer,Corporate,North,Electronics,Tablet,3,0.2,79288.8,3171.55,Standard,6,2025-02,0.04
ORD-10060,2024-12-14,2024-12-17,Ananya Singh,Consumer,Central,Electronics,Tablet,3,0.1,155425.5,12434.04,Express,3,2024-12,0.08
ORD-10061,2024-10-21,2024-10-27,Aarav Rao,Consumer,South,Clothing,Formal Shirt,1,0.0,1446.0,361.5,Same Day,6,2024-10,0.25
ORD-10062,2024-02-08,2024-02-11,Kabir Mehta,Consumer,West,Clothing,Jacket,5,0.05,18862.25,4338.32,Standard,3,2024-02,0.23
ORD-10063,2025-02-14,2025-02-21,Ananya Kapoor,Consumer,North,Electronics,Smartwatch,5,0.0,105145.0,12617.4,Express,7,2025-02,0.12
ORD-10064,2024-09-17,2024-09-22,Priya Mehta,Consumer,South,Groceries,Beverages,3,0.1,523.8,20.95,Same Day,5,2024-09,0.04
ORD-10065,2025-07-03,2025-07-09,Priya Joshi,Small Business,North,Furniture,Sofa,1,0.0,11957.0,2152.26,Express,6,2025-07,0.18
ORD-10066,2024-05-06,2024-05-08,Tanvi Khan,Small Business,North,Electronics,Smartwatch,1,0.0,46409.0,5569.08,Express,2,2024-05,0.12
ORD-10067,2025-07-20,2025-07-23,Priya Nair,Consumer,South,Beauty,Skincare Kit,3,0.05,3237.6,647.52,Express,3,2025-07,0.2
ORD-10068,2025-06-12,2025-06-15,Aarav Sharma,Consumer,West,Clothing,Sneakers,4,0.05,4039.4,929.06,Standard,3,2025-06,0.23
ORD-10069,2025-04-13,2025-04-14,Kabir Sharma,Consumer,South,Electronics,Smartwatch,5,0.0,109080.0,13089.6,Standard,1,2025-04,0.12
ORD-10070,2025-12-23,2025-12-29,Vihaan Verma,Consumer,East,Beauty,Skincare Kit,1,0.15,1925.25,308.04,Standard,6,2025-12,0.16
ORD-10071,2025-11-08,2025-11-11,Aarav Gupta,Small Business,Central,Groceries,Rice Pack,3,0.1,2367.9,94.72,Express,3,2025-11,0.04
ORD-10072,2024-01-08,2024-01-09,Vihaan Reddy,Consumer,North,Electronics,Headphones,3,0.1,132470.1,10597.61,Express,1,2024-01,0.08
ORD-10073,2024-04-29,2024-05-05,Kabir Sharma,Consumer,North,Clothing,Sneakers,2,0.0,1162.0,290.5,Standard,6,2024-04,0.25
ORD-10074,2025-07-01,2025-07-06,Vivaan Iyer,Consumer,East,Groceries,Cooking Oil,3,0.0,2424.0,193.92,Express,5,2025-07,0.08
ORD-10075,2024-09-12,2024-09-18,Tanvi Gupta,Consumer,West,Electronics,Laptop,1,0.15,7720.55,463.23,Standard,6,2024-09,0.06
ORD-10076,2025-06-09,2025-06-10,Saanvi Verma,Consumer,South,Furniture,Bed Frame,4,0.0,95044.0,17107.92,Same Day,1,2025-06,0.18
ORD-10077,2024-02-11,2024-02-15,Om Nair,Small Business,North,Electronics,Laptop,4,0.0,167808.0,20136.96,Express,4,2024-02,0.12
ORD-10078,2024-06-16,2024-06-18,Tanvi Chatterjee,Small Business,South,Groceries,Dairy Pack,1,0.05,954.75,57.28,Standard,2,2024-06,0.06
ORD-10079,2025-11-23,2025-11-27,Meera Iyer,Consumer,Central,Clothing,Jeans,1,0.1,1547.1,324.89,Same Day,4,2025-11,0.21
ORD-10080,2025-02-09,2025-02-14,Vivaan Patel,Consumer,South,Electronics,Laptop,3,0.0,127449.0,15293.88,Standard,5,2025-02,0.12
ORD-10081,2024-03-01,2024-03-04,Ishaan Verma,Consumer,North,Furniture,Office Chair,4,0.25,41754.0,3340.32,Express,3,2024-03,0.08
ORD-10082,2024-01-17,2024-01-19,Diya Nair,Small Business,West,Electronics,Smartphone,5,0.15,251319.5,15079.17,Same Day,2,2024-01,0.06
ORD-10083,2024-09-24,2024-10-01,Kabir Malhotra,Corporate,North,Clothing,Jeans,1,0.0,446.0,111.5,Standard,7,2024-09,0.25
ORD-10084,2025-05-12,2025-05-15,Arjun Malhotra,Consumer,East,Beauty,Perfume,3,0.15,1532.55,245.21,Standard,3,2025-05,0.16
ORD-10085,2024-04-07,2024-04-10,Saanvi Verma,Consumer,East,Beauty,Hair Dryer,1,0.05,226.1,45.22,Express,3,2024-04,0.2
ORD-10086,2025-03-25,2025-04-01,Tanvi Khan,Consumer,North,Clothing,Jeans,3,0.0,3474.0,868.5,Standard,7,2025-03,0.25
ORD-10087,2025-11-27,2025-12-01,Aditya Kapoor,Consumer,South,Electronics,Laptop,1,0.0,41837.0,5020.44,Standard,4,2025-11,0.12
ORD-10088,2024-10-19,2024-10-20,Diya Kapoor,Corporate,South,Electronics,Tablet,4,0.25,79671.0,1593.42,Same Day,1,2024-10,0.02
ORD-10089,2024-11-14,2024-11-20,Rahul Kapoor,Consumer,North,Clothing,Formal Shirt,4,0.15,10237.4,1945.11,Standard,6,2024-11,0.19
ORD-10090,2025-05-20,2025-05-23,Arjun Kapoor,Consumer,South,Beauty,Trimmer,3,0.1,4708.8,847.58,Standard,3,2025-05,0.18
ORD-10091,2024-05-24,2024-05-27,Vivaan Mehta,Consumer,Central,Clothing,Formal Shirt,4,0.1,8748.0,1837.08,Standard,3,2024-05,0.21
ORD-10092,2025-10-10,2025-10-13,Vihaan Nair,Corporate,South,Electronics,Laptop,3,0.0,83793.0,10055.16,Standard,3,2025-10,0.12
ORD-10093,2025-03-29,2025-04-03,Rahul Das,Corporate,East,Groceries,Dairy Pack,5,0.05,3287.0,197.22,Standard,5,2025-03,0.06
ORD-10094,2024-10-15,2024-10-21,Ananya Rao,Consumer,West,Clothing,Sneakers,1,0.2,2582.4,439.01,Express,6,2024-10,0.17
ORD-10095,2025-07-10,2025-07-12,Kavya Khan,Corporate,East,Electronics,Headphones,5,0.1,253359.0,20268.72,Standard,2,2025-07,0.08
ORD-10096,2024-08-11,2024-08-16,Rahul Malhotra,Consumer,North,Clothing,T-Shirt,3,0.0,3297.0,824.25,Express,5,2024-08,0.25
ORD-10097,2025-02-15,2025-02-19,Arjun Joshi,Corporate,North,Beauty,Trimmer,4,0.0,5860.0,1289.2,Standard,4,2025-02,0.22
ORD-10098,2025-04-18,2025-04-21,Sneha Kapoor,Consumer,South,Furniture,Study Table,4,0.1,22676.4,3174.7,Express,3,2025-04,0.14
ORD-10099,2024-03-19,2024-03-22,Neha Gupta,Small Business,East,Clothing,Jeans,1,0.0,3953.0,988.25,Standard,3,2024-03,0.25
ORD-10100,2024-05-09,2024-05-16,Diya Mehta,Corporate,Central,Groceries,Snacks Combo,5,0.2,3388.0,0.0,Standard,7,2024-05,0.0
ORD-10101,2025-05-21,2025-05-22,Rohan Verma,Consumer,Central,Furniture,Bookshelf,1,0.1,19333.8,2706.73,Same Day,1,2025-05,0.14
ORD-10102,2025-03-05,2025-03-06,Aditya Kapoor,Consumer,North,Electronics,Tablet,2,0.15,9146.0,548.76,Same Day,1,2025-03,0.06
ORD-10103,2025-07-11,2025-07-18,Vivaan Reddy,Small Business,East,Electronics,Smartphone,1,0.0,30541.0,3664.92,Standard,7,2025-07,0.12
ORD-10104,2024-09-30,2024-10-06,Neha Sharma,Corporate,North,Furniture,Sofa,3,0.05,29697.0,4751.52,Standard,6,2024-09,0.16
ORD-10105,2024-11-05,2024-11-11,Aarav Singh,Consumer,South,Groceries,Beverages,1,0.05,323.95,19.44,Standard,6,2024-11,0.06
ORD-10106,2024-04-12,2024-04-14,Aditya Mehta,Small Business,North,Furniture,Study Table,1,0.25,3405.75,272.46,Standard,2,2024-04,0.08
ORD-10107,2025-02-19,2025-02-20,Priya Khan,Corporate,East,Furniture,Bookshelf,3,0.05,15421.35,2467.42,Express,1,2025-02,0.16
ORD-10108,2025-05-29,2025-06-05,Saanvi Iyer,Small Business,North,Electronics,Smartwatch,4,0.0,126180.0,15141.6,Standard,7,2025-05,0.12
ORD-10109,2025-09-22,2025-09-27,Om Iyer,Consumer,West,Clothing,Sneakers,1,0.05,3192.95,734.38,Standard,5,2025-09,0.23
ORD-10110,2024-12-18,2024-12-25,Rohan Malhotra,Consumer,Central,Groceries,Rice Pack,4,0.1,3801.6,152.06,Express,7,2024-12,0.04
ORD-10111,2025-08-30,2025-08-31,Om Iyer,Small Business,East,Groceries,Cooking Oil,4,0.05,1649.2,98.95,Standard,1,2025-08,0.06
ORD-10112,2024-08-24,2024-08-26,Tanvi Verma,Small Business,North,Beauty,Skincare Kit,2,0.0,1354.0,297.88,Standard,2,2024-08,0.22
ORD-10113,2024-11-13,2024-11-19,Ishaan Sharma,Small Business,South,Groceries,Dairy Pack,4,0.1,1188.0,47.52,Standard,6,2024-11,0.04
ORD-10114,2024-08-16,2024-08-21,Tanvi Chatterjee,Consumer,East,Electronics,Smartwatch,3,0.2,82605.6,3304.22,Express,5,2024-08,0.04
ORD-10115,2024-09-13,2024-09-18,Diya Rao,Consumer,West,Groceries,Snacks Combo,4,0.0,2700.0,216.0,Express,5,2024-09,0.08
ORD-10116,2025-07-09,2025-07-13,Aarav Gupta,Consumer,South,Groceries,Snacks Combo,5,0.2,4272.0,-0.0,Standard,4,2025-07,-0.0
ORD-10117,2024-06-09,2024-06-10,Vivaan Singh,Small Business,West,Clothing,Sneakers,3,0.0,9420.0,2355.0,Standard,1,2024-06,0.25
ORD-10118,2025-05-09,2025-05-12,Kavya Das,Consumer,West,Furniture,Bookshelf,5,0.0,68075.0,12253.5,Standard,3,2025-05,0.18
ORD-10119,2025-10-30,2025-11-05,Kavya Sharma,Small Business,Central,Beauty,Perfume,2,0.0,5348.0,1176.56,Express,6,2025-10,0.22
ORD-10120,2024-12-10,2024-12-16,Vivaan Verma,Consumer,West,Groceries,Rice Pack,5,0.1,5292.0,211.68,Express,6,2024-12,0.04
ORD-10121,2024-03-29,2024-04-03,Ishaan Verma,Corporate,West,Electronics,Tablet,4,0.1,77810.4,6224.83,Standard,5,2024-03,0.08
ORD-10122,2024-11-26,2024-11-27,Arjun Iyer,Consumer,South,Electronics,Tablet,1,0.1,5153.4,412.27,Express,1,2024-11,0.08
ORD-10123,2025-09-13,2025-09-19,Rohan Patel,Corporate,South,Furniture,Study Table,2,0.05,25726.0,4116.16,Standard,6,2025-09,0.16
ORD-10124,2024-02-12,2024-02-19,Vihaan Patel,Consumer,Central,Furniture,Bookshelf,3,0.0,24210.0,4357.8,Same Day,7,2024-02,0.18
ORD-10125,2024-11-19,2024-11-24,Vihaan Joshi,Consumer,East,Beauty,Hair Dryer,4,0.1,2059.2,370.66,Express,5,2024-11,0.18
ORD-10126,2025-10-19,2025-10-21,Saanvi Rao,Consumer,West,Electronics,Tablet,4,0.0,100684.0,12082.08,Standard,2,2025-10,0.12
ORD-10127,2024-10-24,2024-10-28,Saanvi Gupta,Consumer,West,Groceries,Beverages,5,0.1,5827.5,233.1,Standard,4,2024-10,0.04
ORD-10128,2024-01-26,2024-01-27,Diya Khan,Small Business,South,Furniture,Study Table,1,0.0,11352.0,2043.36,Standard,1,2024-01,0.18
ORD-10129,2024-07-20,2024-07-21,Vivaan Sharma,Consumer,North,Furniture,Sofa,1,0.1,4086.0,572.04,Standard,1,2024-07,0.14
ORD-10130,2025-10-16,2025-10-19,Vivaan Chatterjee,Corporate,North,Groceries,Snacks Combo,1,0.05,1140.0,68.4,Standard,3,2025-10,0.06
ORD-10131,2025-01-08,2025-01-13,Kabir Kapoor,Consumer,North,Electronics,Smartphone,2,0.0,115508.0,13860.96,Express,5,2025-01,0.12
ORD-10132,2024-03-13,2024-03-14,Meera Nair,Corporate,East,Clothing,T-Shirt,5,0.0,15040.0,3760.0,Standard,1,2024-03,0.25
ORD-10133,2024-02-27,2024-03-01,Diya Kapoor,Corporate,West,Furniture,Bookshelf,4,0.0,87032.0,15665.76,Standard,3,2024-02,0.18
ORD-10134,2025-09-09,2025-09-15,Rahul Reddy,Corporate,North,Electronics,Smartwatch,5,0.0,156640.0,13707.165399799464,Express,6,2025-09,0.088
ORD-10135,2024-11-16,2024-11-17,Rohan Nair,Consumer,North,Beauty,Makeup Kit,1,0.1,1769.4,318.49,Standard,1,2024-11,0.18
ORD-10136,2025-10-24,2025-10-26,Ananya Verma,Small Business,East,Beauty,Perfume,3,0.15,6874.8,1099.97,Standard,2,2025-10,0.16
ORD-10137,2024-12-07,2024-12-11,Om Malhotra,Consumer,West,Beauty,Makeup Kit,5,0.05,3766.75,753.35,Standard,4,2024-12,0.2
ORD-10138,2025-06-09,2025-06-10,Vivaan Singh,Consumer,East,Beauty,Hair Dryer,2,0.1,3619.8,651.56,Express,1,2025-06,0.18
ORD-10139,2024-04-19,2024-04-25,Meera Patel,Consumer,North,Beauty,Makeup Kit,5,0.05,5928.0,1185.6,Same Day,6,2024-04,0.2
ORD-10140,2024-01-12,2024-01-16,Vivaan Joshi,Consumer,South,Beauty,Makeup Kit,5,0.0,2945.0,647.9,Standard,4,2024-01,0.22
ORD-10141,2024-12-10,2024-12-12,Neha Joshi,Consumer,South,Clothing,Jeans,3,0.0,5658.0,1414.5,Express,2,2024-12,0.25
ORD-10142,2025-08-31,2025-09-04,Kabir Verma,Small Business,North,Groceries,Rice Pack,4,0.05,3492.2,209.53,Standard,4,2025-08,0.06
ORD-10143,2025-04-27,2025-05-04,Ishaan Rao,Corporate,East,Clothing,Sneakers,2,0.0,5804.0,1451.0,Standard,7,2025-04,0.25
ORD-10144,2024-03-05,2024-03-10,Arjun Iyer,Corporate,South,Beauty,Perfume,5,0.0,11100.0,2442.0,Standard,5,2024-03,0.22
ORD-10145,2024-07-01,2024-07-06,Ishaan Das,Small Business,West,Furniture,Bookshelf,5,0.05,29540.25,4726.44,Same Day,5,2024-07,0.16
ORD-10146,2024-01-17,2024-01-18,Meera Patel,Consumer,Central,Electronics,Smartphone,2,0.0,103446.0,12413.52,Standard,1,2024-01,0.12
ORD-10147,2025-12-26,2025-12-27,Meera Singh,Corporate,West,Electronics,Smartwatch,5,0.0,275390.0,33046.8,Express,1,2025-12,0.12
ORD-10148,2025-04-27,2025-04-28,Kabir Iyer,Consumer,North,Beauty,Makeup Kit,4,0.15,6371.6,1019.46,Standard,1,2025-04,0.16
ORD-10149,2024-12-15,2024-12-21,Aditya Sharma,Consumer,South,Furniture,Bookshelf,2,0.1,34434.0,4820.76,Standard,6,2024-12,0.14
ORD-10150,2024-08-04,2024-08-06,Zara Chatterjee,Consumer,West,Furniture,Study Table,5,0.1,97339.5,13627.53,Standard,2,2024-08,0.14
ORD-10151,2024-09-29,2024-10-01,Rahul Malhotra,Small Business,North,Electronics,Smartphone,4,0.0,26332.0,3159.84,Express,2,2024-09,0.12
ORD-10152,2024-08-09,2024-08-16,Priya Singh,Consumer,Central,Electronics,Smartwatch,4,0.0,209632.0,25155.84,Standard,7,2024-08,0.12
ORD-10153,2025-06-24,2025-06-29,Diya Kapoor,Corporate,West,Groceries,Snacks Combo,5,0.05,888.25,53.3,Standard,5,2025-06,0.06
ORD-10154,2024-01-23,2024-01-28,Aarav Joshi,Small Business,West,Groceries,Rice Pack,2,0.0,470.0,37.6,Standard,5,2024-01,0.08
ORD-10155,2024-08-11,2024-08-13,Neha Chatterjee,Corporate,West,Furniture,Sofa,3,0.0,13743.0,2473.74,Standard,2,2024-08,0.18
ORD-10156,2025-08-24,2025-08-26,Ishaan Reddy,Consumer,East,Groceries,Rice Pack,3,0.15,2914.65,58.29,Standard,2,2025-08,0.02
ORD-10157,2024-05-11,2024-05-15,Tanvi Khan,Consumer,North,Furniture,Sofa,5,0.0,16640.0,2995.2,Standard,4,2024-05,0.18
ORD-10158,2025-08-05,2025-08-09,Vivaan Malhotra,Consumer,West,Beauty,Hair Dryer,4,0.1,4600.8,828.14,Express,4,2025-08,0.18
ORD-10159,2024-11-14,2024-11-20,Ananya Malhotra,Consumer,South,Clothing,Formal Shirt,3,0.05,3981.45,915.73,Standard,6,2024-11,0.23
ORD-10160,2025-09-19,2025-09-20,Ishaan Khan,Consumer,East,Clothing,Sneakers,5,0.0,6850.0,1712.5,Express,1,2025-09,0.25
ORD-10161,2025-07-12,2025-07-18,Kavya Iyer,Consumer,North,Groceries,Snacks Combo,4,0.05,3556.8,213.41,Express,6,2025-07,0.06
ORD-10162,2025-12-10,2025-12-11,Diya Khan,Consumer,West,Clothing,Formal Shirt,3,0.05,5269.65,1212.02,Standard,1,2025-12,0.23
ORD-10163,2025-08-04,2025-08-06,Rohan Joshi,Small Business,South,Groceries,Cooking Oil,1,0.0,711.0,56.88,Standard,2,2025-08,0.08
ORD-10164,2025-12-25,2025-12-31,Om Chatterjee,Consumer,South,Groceries,Cooking Oil,4,0.15,3406.8,68.14,Express,6,2025-12,0.02
ORD-10165,2025-08-04,2025-08-08,Aarav Mehta,Small Business,South,Electronics,Tablet,5,0.05,34898.25,3489.82,Standard,4,2025-08,0.1
ORD-10166,2024-07-21,2024-07-25,Kavya Patel,Consumer,West,Beauty,Perfume,5,0.25,5760.0,691.2,Standard,4,2024-07,0.12
ORD-10167,2025-01-05,2025-01-06,Kabir Nair,Consumer,East,Beauty,Makeup Kit,4,0.05,3146.4,629.28,Standard,1,2025-01,0.2
ORD-10168,2024-12-19,2024-12-23,Diya Verma,Consumer,West,Furniture,Sofa,2,0.05,46455.0,7432.8,Standard,4,2024-12,0.16
ORD-10169,2024-05-23,2024-05-26,Kabir Patel,Consumer,North,Beauty,Makeup Kit,3,0.15,2065.5,330.48,Express,3,2024-05,0.16
ORD-10170,2024-08-01,2024-08-08,Arjun Rao,Consumer,East,Beauty,Makeup Kit,2,0.15,4975.9,796.14,Standard,7,2024-08,0.16
ORD-10171,2024-02-13,2024-02-14,Diya Iyer,Consumer,North,Furniture,Bookshelf,2,0.0,45506.0,8191.08,Standard,1,2024-02,0.18
ORD-10172,2025-05-22,2025-05-26,Sneha Nair,Consumer,West,Electronics,Smartwatch,2,0.0,119656.0,14358.72,Express,4,2025-05,0.12
ORD-10173,2024-09-15,2024-09-18,Zara Mehta,Corporate,South,Furniture,Sofa,5,0.1,36580.5,5121.27,Same Day,3,2024-09,0.14
ORD-10174,2025-06-27,2025-06-28,Saanvi Verma,Small Business,North,Groceries,Snacks Combo,5,0.25,4695.0,-93.9,Standard,1,2025-06,-0.02
ORD-10175,2024-09-03,2024-09-06,Neha Khan,Consumer,Central,Beauty,Skincare Kit,3,0.0,8676.0,1908.72,Express,3,2024-09,0.22
